Time (s),E_exp_in (s-1),E_exp_out (s-1),F_exp_in (1),F_exp_out (1),E_sim_out (s-1),F_sim_out (1)
108.17525382102349,0.000456140395709018,0.002435950529623584,0.45804080699367516,0.23530224050462545,0.0028722663941891983,0.28606468862455964
108.37964935009768,0.0006090812363517994,0.0024486859217200427,0.45814967026320835,0.23580143943052917,0.0028699565696561984,0.28665153097493823
108.5840448791719,0.0009007483771485862,0.0024960773015611113,0.45830397147454,0.23630678317811382,0.0028676478555382315,0.2872379013209913
108.78844040824612,0.0012164612514596056,0.0025494658517336787,0.4585203455656402,0.23682242640925608,0.002865340262498113,0.28782379989077245
108.99283593732034,0.0013262417785899394,0.0025563770915810755,0.45878020413119297,0.2373442321441404,0.0028630338010334285,0.2884092269144977
109.19723146639456,0.0014036012206059124,0.002555992542839674,0.4590591879832481,0.2378667048922656,0.0028607284814803143,0.28899418262451243
109.40162699546877,0.0014809927873071665,0.0025556078412399745,0.45935398704245395,0.23838909902472558,0.002858424314017244,0.28957866725525844
109.606022524543,0.001488199274665429,0.0025552231240889172,0.45965743183366886,0.23891141452430922,0.0028561213086688146,0.2901626810432423
109.81041805361721,0.0014861119783014577,0.0025548378319510986,0.45996139979475964,0.23943365133066488,0.0028538194753095314,0.29074622422700414
110.01481358269143,0.001342178910523984,0.002542452822656679,0.46025044480105826,0.2399545830407617,0.002851518823667594,0.29132929704708754
110.21920911176565,0.0011811877803320602,0.002528624137692864,0.4605083272359711,0.24047283576990505,0.002849219363328682,0.2919118997460099
110.42360464083984,0.0010201422443820364,0.002514791324657795,0.4607332982435053,0.24098826155578912,0.0028469211037397374,0.2924940325682336
110.62800016991406,0.0007143238004418378,0.0024642125346744674,0.46091055679595183,0.2414971046198345,0.0028446240542127537,0.29307569576013837
110.83239569898828,0.00038926445153495,0.002409177914227307,0.46102334104827325,0.24199515422942877,0.002842328220006836,0.29365688956959285
111.0367912280625,0.00029330365926783636,0.0024055183947150594,0.46109309798334164,0.24248720542912774,0.0028400336117632794,0.29423761424609074
111.24118675713672,0.00021177705463472726,0.002405135531719455,0.4611447161032133,0.24297884350637103,0.002837740238984018,0.29481787004118437
111.44558228621094,0.00013026054013744604,0.0024047526988123283,0.46117967158078665,0.24347040333120473,0.002835448110222719,0.29539765720827127
111.64997781528515,0.00012464727949646525,0.0024043696779019155,0.4612057225901163,0.24396188488749032,0.0028331572338968626,0.2959769760024834
111.85437334435937,0.0001226300518442432,0.002403997319770921,0.4612309937806,0.24445328924572648,0.0028308676182908408,0.2965558266806596
112.05876887343359,0.00012055702091615457,0.002403614660888338,0.46125584695580046,0.24494461644291168,0.0028285792715590616,0.29713420950131875
112.26316440250781,0.00011848011984561511,0.0024032312876398464,0.46128027601722765,0.24543586535332554,0.0028262922017290473,0.2977121247246335
112.46755993158203,0.00011639839001224436,0.0024028470230647416,0.46130428007587293,0.24592703581286984,0.0028240064167045333,0.2982895726124045
112.67195546065622,0.00011431621572744446,0.002402462676449281,0.4613278585928256,0.2464181277220686,0.002821721924268569,0.2988665534280357
112.87635098973044,0.00011233436353707604,0.0024020968481999984,0.4613510217753575,0.24690914296507321,0.0028194387320866193,0.2994430674365099
113.08074651880466,0.0001102523571302608,0.002401712532540595,0.4613737696406253,0.2474000815450473,0.002817156847709663,0.30001911490436484
113.28514204787888,0.00010815232634785631,0.0024013248897949272,0.4613960901110412,0.24789094123259808,0.002814876278577293,0.3005946960996703
113.4895375769531,0.00010605564279478744,0.0024009378649175518,0.4614179816866336,0.24838172175084952,0.0028125970299511254,0.30116981129179415
113.69393310602732,0.0001039584917120287,0.002400550753764768,0.4614394446617014,0.24887242315412922,0.002810319108034731,0.3017444607512759
113.89832863510154,0.0001018662239548505,0.002400164543972323,0.46146047948752905,0.24936304552573704,0.0028080425215330413,0.30231864475017883
114.10272416417575,9.978747277850315e-05,0.002399780829235291,0.46148108804454585,0.24985358921277911,0.0028057672772468273,0.30289236356215066
114.30711969324997,9.769666887684945e-05,0.0023993948896962615,0.46150127048235456,0.2503440542428747,0.0028034933818630943,0.3034656174622176
